10523,1,12,1,105231121
10523,1,12,3,105231123
10523,1,16,1,105231161
10523,1,16,3,105231163
10523,2,12,1,105232121
10523,2,12,3,105232123
10523,2,16,1,105232161
10523,2,16,3,105232163
10536,1,12,1,105361121
10536,1,12,3,105361123
10536,1,16,1,105361161
10536,1,16,3,105361163
10536,2,12,1,105362121
10536,2,12,3,105362123
10536,2,16,1,105362161
10536,2,16,3,105362163
10552,1,12,1,105521121
10552,1,12,3,105521123
10552,1,16,1,105521161
10552,1,16,3,105521163
10552,2,12,1,105522121
10552,2,12,3,105522123
10552,2,16,1,105522161
10552,2,16,3,105522163
10577,1,12,1,105771121
10577,1,12,3,105771123
10577,1,16,1,105771161
10577,1,16,3,105771163
10577,2,12,1,105772121
10577,2,12,3,105772123
10577,2,16,1,105772161
10577,2,16,3,105772163
10594,1,12,1,105941121
10594,1,12,3,105941123
10594,1,16,1,105941161
10594,1,16,3,105941163
10594,2,12,1,105942121
10594,2,12,3,105942123
10594,2,16,1,105942161
10594,2,16,3,105942163
10980,1,12,1,109801121
10980,1,12,3,109801123
10980,1,16,1,109801161
10980,1,16,3,109801163
10980,2,12,1,109802121
10980,2,12,3,109802123
10980,2,16,1,109802161
10980,2,16,3,109802163
11701,1,12,1,117011121
11701,1,12,3,117011123
11701,1,16,1,117011161
11701,1,16,3,117011163
11701,2,12,1,117012121
11701,2,12,3,117012123
11701,2,16,1,117012161
11701,2,16,3,117012163
11758,1,12,1,117581121
11758,1,12,3,117581123
11758,1,16,1,117581161
11758,1,16,3,117581163
11758,2,12,1,117582121
11758,2,12,3,117582123
11758,2,16,1,117582161
11758,2,16,3,117582163
11772,1,12,1,117721121
11772,1,12,3,117721123
11772,1,16,1,117721161
11772,1,16,3,117721163
11772,2,12,1,117722121
11772,2,12,3,117722123
11772,2,16,1,117722161
11772,2,16,3,117722163
11779,1,12,1,117791121
11779,1,12,3,117791123
11779,1,16,1,117791161
11779,1,16,3,117791163
11779,2,12,1,117792121
11779,2,12,3,117792123
11779,2,16,1,117792161
11779,2,16,3,117792163
11975,1,12,1,119751121
11975,1,12,3,119751123
11975,1,16,1,119751161
11975,1,16,3,119751163
11975,2,12,1,119752121
11975,2,12,3,119752123
11975,2,16,1,119752161
11975,2,16,3,119752163
12010,1,12,1,120101121
12010,1,12,3,120101123
12010,1,16,1,120101161
12010,1,16,3,120101163
12010,2,12,1,120102121
12010,2,12,3,120102123
12010,2,16,1,120102161
12010,2,16,3,120102163
12183,1,12,1,121831121
12183,1,12,3,121831123
12183,1,16,1,121831161
12183,1,16,3,121831163
12183,2,12,1,121832121
12183,2,12,3,121832123
12183,2,16,1,121832161
12183,2,16,3,121832163
12189,1,12,1,121891121
12189,1,12,3,121891123
12189,1,16,1,121891161
12189,1,16,3,121891163
12189,2,12,1,121892121
12189,2,12,3,121892123
12189,2,16,1,121892161
12189,2,16,3,121892163
12308,1,12,1,123081121
12308,1,12,3,123081123
